address,adm-fees,garage-places,price,rooms,square-foot,neighborhood,city,latitude,longitude
"Avenida Raja Gabaglia, 1583 ",470.0,1,330000.0,1,40, Luxemburgo, Belo Horizonte ,-19.9364152,-43.9533964
"Rua Espírito Santo, 1171 ",,1,480000.0,2,45-65, Centro, Belo Horizonte ,-18.8647762,-41.1217768
"Rua dos Expedicionários, 1082 ",,5,1190000.0,4,411, Santa Amélia, Belo Horizonte ,-20.2252407,-44.3977797
"Rua Marechal Hermes, 81 ",750.0,4,1590000.0,4,158, Gutierrez, Belo Horizonte ,-19.9371552,-43.9586943
"Rua Juruna, 110 ",,6,550000.0,3,278, Pindorama, Belo Horizonte ,-19.9129822,-44.0199442
"Rua Maria Pereira de Araújo, 15 ",500.0,1,450000.0,3,87, Castelo, Belo Horizonte ,-19.8861475,-44.0042361
"Rua Espírito Santo, 1580 ",,2,861748.0,2,60-71, Centro, Belo Horizonte ,-18.8647762,-41.1217768
"Rua Matipó, 455 ",750.0,2,549900.0,4,153, Santo Antônio, Belo Horizonte ,-19.9473515,-43.9434703
"Rua Pitangui, 000 ",,2,890000.0,3,200, Sagrada Família, Belo Horizonte ,-19.9023386,-43.9420716
"Avenida dos Bandeirantes, 76 ",2400.0,3,2550000.0,4,570, Sion, Belo Horizonte ,-19.9572301,-43.9319731
"Avenida Bias Fortes, 1603 ",480.0,1,310000.0,2,74, Lourdes, Belo Horizonte ,-19.9320955,-43.9393472
"Rua Maestro Delê Andrade, 231 ",350.0,1,311000.0,3,72, Santa Efigênia, Belo Horizonte ,-19.9242017,-43.9131071
"Rua Bom Despacho, 356 ",,3,975000.0,5,250, Santa Tereza, Belo Horizonte ,-19.8738542,-44.0049198
"Rua Curitiba, 1677 ",,2-3,826000.0,2,62-65, Lourdes, Belo Horizonte ,-19.9122312,-43.9396634
"Rua Alvarenga Peixoto, 711 ",1092.0,3,1027000.0,3,102, Lourdes, Belo Horizonte ,-19.929576,-43.9494157
Rua Carlos Schettino ,200.0,1,180000.0,2,52, Nova Gameleira, Belo Horizonte ,-19.9427423,-43.9951065
"Rua Barão de Cocais, 397 ",380000.0,2,750000.0,4,160, Sagrada Família, Belo Horizonte ,-19.9093193,-43.9220712
"Rua João Calvino, 150 ",,3,800000.0,3,215, São João Batista, Belo Horizonte ,-19.8179098,-43.9705903
Rua Araraquara ,504.0,2,560000.0,3,82, Nova Suíssa, Belo Horizonte ,-19.9343061,-43.9775176
"Rua Augusto José de Araújo, 217 ",,1,385000.0,2,90, São Gabriel, Belo Horizonte ,-19.8554481,-43.9186394
"Rua Cecília Fonseca Coutinho, 480 ",250.0,1,280000.0,2,54, Castelo, Belo Horizonte ,-19.8888222,-43.995234
"Rua João Antônio Cardoso, 128 ",366.0,--,495000.0,4,127, Ouro Preto, Belo Horizonte ,-19.8753366,-43.9827445
"Rua Contria, 784 ",290.0,1,750000.0,2,160, Alto Barroca, Belo Horizonte ,-19.9288646,-43.9703277
"Rua Jacson Passos, 15 ",,3,650000.0,3,200, Goiânia, Belo Horizonte ,-19.8587547,-43.9011513
"Rua Tenente Marino Freire, 135 ",110.0,2,380000.0,3,140, Maria Helena, Belo Horizonte ,-19.8018933,-43.993773
"Rua Sebastião Fabiano Dias, 105 ",2270.0,3,1950000.0,4,178, Belvedere, Belo Horizonte ,-19.9763098,-43.9441586
"Avenida José Cândido da Silveira, 549 ",370.0,2,400000.0,3,90, Cidade Nova, Belo Horizonte ,-19.8772474,-43.9104561
"Rua Grenat, 120 ",,3,390000.0,4,254, Vitória, Belo Horizonte ,-19.8618303,-43.8875317
"Rua São Paulo, 1801 ",900.0,3,2025000.0,3,123, Lourdes, Belo Horizonte ,-19.914782,-43.9388011
"Rua Antônio de Albuquerque, 230 ",1000.0,2,890000.0,2,72, Savassi, Belo Horizonte ,-19.936584,-43.9421163
"Rua da Bahia, 485 ",500.0,--,380000.0,3,96, Centro, Belo Horizonte ,-19.9151776,-43.9347647
"Rua Mariano Procópio, 376 ",,2,358000.0,2,55, João Pinheiro, Belo Horizonte ,-19.9305746,-43.9939538
"Rua São Sebastião do Paraíso, 351 ",460.0,3,545000.0,4,115, Itapoã, Belo Horizonte ,-19.8351911,-43.9633143
"Rua Doutor Juvenal dos Santos, 324 ",900.0,2,850000.0,3,120, Luxemburgo, Belo Horizonte ,-19.9508257,-43.9585445
"Rua Santa Rosa, 50 ",,1,300000.0,3,80, São Tomaz, Belo Horizonte ,-19.7876321,-43.977021
"Rua Alvarenga Peixoto, 594 ",,1,695416.0,1,39-48, Lourdes, Belo Horizonte ,-19.929576,-43.9494157
"Rua Mirante, 203 ",,--,350000.0,--,360, Boa Vista, Belo Horizonte ,-19.8910998,-43.890295
"Rua Deputado Bernardino de Sena Figueiredo, 1177 ",,3,620000.0,3,90, Cidade Nova, Belo Horizonte ,-19.8840778,-43.9282818
"Avenida Cristiano Machado, 1420 ",500.0,1,290000.0,3,92, Sagrada Família, Belo Horizonte ,-19.8475195,-43.9324755
"Avenida Amazonas, 61 ",380.0,--,320000.0,2,65, Centro, Belo Horizonte ,-19.9379439,-43.9991336
